Transect,Measurement_Point,name,value
1,130,F2021,0
1,130,S2022,0
1,130,F2024,0
1,130,S2025,NA
1,140,F2021,0
1,140,S2022,1.5
1,140,F2024,0
1,140,S2025,NA
1,150,F2021,1.5
1,150,S2022,2
1,150,F2024,0
1,150,S2025,NA
1,160,F2021,2
1,160,S2022,3
1,160,F2024,0
1,160,S2025,NA
1,170,F2021,2
1,170,S2022,4
1,170,F2024,0
1,170,S2025,NA
1,180,F2021,3
1,180,S2022,4
1,180,F2024,0
1,180,S2025,NA
1,190,F2021,4.5
1,190,S2022,5.5
1,190,F2024,0
1,190,S2025,NA
1,200,F2021,5
1,200,S2022,7
1,200,F2024,0
1,200,S2025,NA
2,140,F2021,0
2,140,S2022,0
2,140,F2024,0
2,140,S2025,NA
2,150,F2021,0.5
2,150,S2022,0.5
2,150,F2024,0
2,150,S2025,NA
2,160,F2021,1
2,160,S2022,1.5
2,160,F2024,0
2,160,S2025,NA
2,170,F2021,1
2,170,S2022,3
2,170,F2024,0
2,170,S2025,NA
2,180,F2021,2
2,180,S2022,3
2,180,F2024,0
2,180,S2025,NA
2,190,F2021,2
2,190,S2022,2.5
2,190,F2024,0
2,190,S2025,NA
2,200,F2021,2.5
2,200,S2022,3.5
2,200,F2024,0
2,200,S2025,NA
2,210,F2021,2.5
2,210,S2022,4.5
2,210,F2024,0
2,210,S2025,NA
3,170,F2021,0
3,170,S2022,0
3,170,F2024,0
3,170,S2025,NA
3,180,F2021,2.5
3,180,S2022,12
3,180,F2024,4
3,180,S2025,NA
3,190,F2021,5
3,190,S2022,15.5
3,190,F2024,8
3,190,S2025,NA
3,200,F2021,8.75
3,200,S2022,18
3,200,F2024,10
3,200,S2025,NA
3,210,F2021,11.25
3,210,S2022,18.5
3,210,F2024,11
3,210,S2025,NA
3,220,F2021,17.5
3,220,S2022,20
3,220,F2024,12
3,220,S2025,NA
3,230,F2021,21.25
3,230,S2022,20
3,230,F2024,13
3,230,S2025,NA
4,140,F2021,0
4,140,S2022,0
4,140,F2024,0
4,140,S2025,NA
4,150,F2021,1.5
4,150,S2022,1
4,150,F2024,1.5
4,150,S2025,NA
4,160,F2021,3.5
4,160,S2022,2.5
4,160,F2024,3.5
4,160,S2025,NA
4,170,F2021,4
4,170,S2022,3.5
4,170,F2024,5
4,170,S2025,NA
4,180,F2021,5
4,180,S2022,4.5
4,180,F2024,6
4,180,S2025,NA
4,190,F2021,5.5
4,190,S2022,5
4,190,F2024,6.5
4,190,S2025,NA
4,200,F2021,6
4,200,S2022,6
4,200,F2024,7
4,200,S2025,NA
4,210,F2021,6.5
4,210,S2022,8
4,210,F2024,7.5
4,210,S2025,NA
5,160,F2021,0
5,160,S2022,0
5,160,F2024,0
5,160,S2025,NA
5,170,F2021,0.5
5,170,S2022,0.5
5,170,F2024,NA
5,170,S2025,NA
5,180,F2021,1
5,180,S2022,1.5
5,180,F2024,2
5,180,S2025,NA
5,190,F2021,3.5
5,190,S2022,2.5
5,190,F2024,3
5,190,S2025,NA
5,200,F2021,4
5,200,S2022,4
