Transect,Collection_Period,Trail_Width,Measurement_Point,Depth_Measurement,,,,,,,,,,,,,,,,,,,,,
1,Fall,70,130,0,,,,,,,,,,,,,,,,,,,,,
1,Fall,70,140,0,,,,,,,,,,,,,,,,,,,,,
1,Fall,70,150,1.5,,,,,,,,,,,,,,,,,,,,,
1,Fall,70,160,2,,,,,,,,,,,,,,,,,,,,,
1,Fall,70,170,2,,,,,,,,,,,,,,,,,,,,,
1,Fall,70,180,3,,,,,,,,,,,,,,,,,,,,,
1,Fall,70,190,4.5,,,,,,,,,,,,,,,,,,,,,
1,Fall,70,200,5,,,,,,,,,,,,,,,,,,,,,
2,Fall,70,140,0,,,,,,,,,,,,,,,,,,,,,
2,Fall,70,150,0.5,,,,,,,,,,,,,,,,,,,,,
2,Fall,70,160,1,,,,,,,,,,,,,,,,,,,,,
2,Fall,70,170,1,,,,,,,,,,,,,,,,,,,,,
2,Fall,70,180,2,,,,,,,,,,,,,,,,,,,,,
2,Fall,70,190,2,,,,,,,,,,,,,,,,,,,,,
2,Fall,70,200,2.5,,,,,,,,,,,,,,,,,,,,,
2,Fall,70,210,2.5,,,,,,,,,,,,,,,,,,,,,
3,Fall,60,170,0,,,,,,,,,,,,,,,,,,,,,
3,Fall,60,180,2.5,,,,,,,,,,,,,,,,,,,,,
3,Fall,60,190,5,,,,,,,,,,,,,,,,,,,,,
3,Fall,60,200,8.75,,,,,,,,,,,,,,,,,,,,,
3,Fall,60,210,11.25,,,,,,,,,,,,,,,,,,,,,
3,Fall,60,220,17.5,,,,,,,,,,,,,,,,,,,,,
3,Fall,60,230,21.25,,,,,,,,,,,,,,,,,,,,,
4,Fall,70,140,0,,,,,,,,,,,,,,,,,,,,,
4,Fall,70,150,1.5,,,,,,,,,,,,,,,,,,,,,
4,Fall,70,160,3.5,,,,,,,,,,,,,,,,,,,,,
4,Fall,70,170,4,,,,,,,,,,,,,,,,,,,,,
4,Fall,70,180,5,,,,,,,,,,,,,,,,,,,,,
4,Fall,70,190,5.5,,,,,,,,,,,,,,,,,,,,,
4,Fall,70,200,6,,,,,,,,,,,,,,,,,,,,,
4,Fall,70,210,6.5,,,,,,,,,,,,,,,,,,,,,
5,Fall,90,160,0,,,,,,,,,,,,,,,,,,,,,
5,Fall,90,170,0.5,,,,,,,,,,,,,,,,,,,,,
5,Fall,90,180,1,,,,,,,,,,,,,,,,,,,,,
5,Fall,90,190,3.5,,,,,,,,,,,,,,,,,,,,,
5,Fall,90,200,4,,,,,,,,,,,,,,,,,,,,,
5,Fall,90,210,6,,,,,,,,,,,,,,,,,,,,,
5,Fall,90,220,6.5,,,,,,,,,,,,,,,,,,,,,
5,Fall,90,230,7.5,,,,,,,,,,,,,,,,,,,,,
5,Fall,90,240,8.5,,,,,,,,,,,,,,,,,,,,,
5,Fall,90,250,10.5,,,,,,,,,,,,,,,,,,,,,
6,Fall,100,170,0,,,,,,,,,,,,,,,,,,,,,
6,Fall,100,180,2,,,,,,,,,,,,,,,,,,,,,
6,Fall,100,190,1,,,,,,,,,,,,,,,,,,,,,
6,Fall,100,200,0,,,,,,,,,,,,,,,,,,,,,
6,Fall,100,210,-1,,,,,,,,,,,,,,,,,,,,,
6,Fall,100,220,-3,,,,,,,,,,,,,,,,,,,,,
6,Fall,100,230,-4.5,,,,,,,,,,,,,,,,,,,,,
6,Fall,100,240,-5,,,,,,,,,,,,,,,,,,,,,
6,Fall,100,250,-7.5,,,,,,,,,,,,,,,,,,,,,
6,Fall,100,260,-9.5,,,,,,,,,,,,,,,,,,,,,
6,Fall,100,270,-10.5,,,,,,,,,,,,,,,,,,,,,
7,Fall,70,160,0,,,,,,,,,,,,,,,,,,,,,
7,Fall,70,170,2,,,,,,,,,,,,,,,,,,,,,
7,Fall,70,180,5,,,,,,,,,,,,,,,,,,,,,
7,Fall,70,190,5,,,,,,,,,,,,,,,,,,,,,
7,Fall,70,200,5.5,,,,,,,,,,,,,,,,,,,,,
7,Fall,70,210,6,,,,,,,,,,,,,,,,,,,,,
7,Fall,70,220,8,,,,,,,,,,,,,,,,,,,,,
7,Fall,70,230,8.5,,,,,,,,,,,,,,,,,,,,,
8,Fall,80,180,0,,,,,,,,,,,,,,,,,,,,,
8,Fall,80,190,3,,,,,,,,,,,,,,,,,,,,,
8,Fall,80,200,5.5,,,,,,,,,,,,,,,,,,,,,
8,Fall,80,210,8,,,,,,,,,,,,,,,,,,,,,
8,Fall,80,220,9.5,,,,,,,,,,,,,,,,,,,,,
8,Fall,80,230,10,,,,,,,,,,,,,,,,,,,,,
8,Fall,80,240,9.5,,,,,,,,,,,,,,,,,,,,,
8,Fall,80,250,8.5,,,,,,,,,,,,,,,,,,,,,
8,Fall,80,260,7.5,,,,,,,,,,,,,,,,,,,,,
9,Fall,90,190,0,,,,,,,,,,,,,,,,,,,,,
9,Fall,90,200,0.5,,,,,,,,,,,,,,,,,,,,,
9,Fall,90,210,0.5,,,,,,,,,,,,,,,,,,,,,
9,Fall,90,220,0.5,,,,,,,,,,,,,,,,,,,,,
9,Fall,90,230,0.5,,,,,,,,,,,,,,,,,,,,,
9,Fall,90,240,0.5,,,,,,,,,,,,,,,,,,,,,
9,Fall,90,250,1.5,,,,,,,,,,,,,,,,,,,,,
9,Fall,90,260,3,,,,,,,,,,,,,,,,,,,,,
9,Fall,90,270,4,,,,,,,,,,,,,,,,,,,,,
9,Fall,90,280,4,,,,,,,,,,,,,,,,,,,,,
10,Fall,70,160,0,,,,,,,,,,,,,,,,,,,,,
10,Fall,70,170,0,,,,,,,,,,,,,,,,,,,,,
10,Fall,70,180,0,,,,,,,,,,,,,,,,,,,,,
10,Fall,70,190,0,,,,,,,,,,,,,,,,,,,,,
10,Fall,70,200,0,,,,,,,,,,,,,,,,,,,,,
10,Fall,70,210,0,,,,,,,,,,,,,,,,,,,,,
10,Fall,70,220,0.5,,,,,,,,,,,,,,,,,,,,,
10,Fall,70,230,0.5,,,,,,,,,,,,,,,,,,,,,
11,Fall,90,150,0,,,,,,,,,,,,,,,,,,,,,
11,Fall,90,160,1.5,,,,,,,,,,,,,,,,,,,,,
11,Fall,90,170,3,,,,,,,,,,,,,,,,,,,,,
11,Fall,90,180,3.5,,,,,,,,,,,,,,,,,,,,,
11,Fall,90,190,4.5,,,,,,,,,,,,,,,,,,,,,
11,Fall,90,200,5,,,,,,,,,,,,,,,,,,,,,
11,Fall,90,210,5.5,,,,,,,,,,,,,,,,,,,,,
11,Fall,90,220,5,,,,,,,,,,,,,,,,,,,,,
11,Fall,90,230,5.5,,,,,,,,,,,,,,,,,,,,,
11,Fall,90,240,5.5,,,,,,,,,,,,,,,,,,,,,
12,Fall,70,130,0,,,,,,,,,,,,,,,,,,,,,
12,Fall,70,140,5.5,,,,,,,,,,,,,,,,,,,,,
12,Fall,70,150,5.5,,,,,,,,,,,,,,,,,,,,,
12,Fall,70,160,2.5,,,,,,,,,,,,,,,,,,,,,
12,Fall,70,170,2.5,,,,,,,,,,,,,,,,,,,,,
12,Fall,70,180,3.5,,,,,,,,,,,,,,,,,,,,,
12,Fall,70,190,3.5,,,,,,,,,,,,,,,,,,,,,
12,Fall,70,200,3,,,,,,,,,,,,,,,,,,,,,
13,Fall,60,120,0,,,,,,,,,,,,,,,,,,,,,
13,Fall,60,130,1,,,,,,,,,,,,,,,,,,,,,
13,Fall,60,140,0,,,,,,,,,,,,,,,,,,,,,
