Transect,collect_period,Measurement,Depth_Measurement,Braking,Inner width ,Outer width ,Trail characteristics  ,Corner (if applicable),Type of Turn,Going into Turn ,Notes,,,
1,25-Sep-24,10,90,1,150-200,120-230,45L/55s,None,,,Gone as of 4.24.25-confirmed 4.27.25,,,
1,,20,90,1,150-200,120-230,45L/55s,None,,,,,,
1,,30,90,1,150-200,120-230,45L/55s,None,,,,,,
1,,40,90,1,150-200,120-230,45L/55s,None,,,,,,
1,,50,90,1,150-200,120-230,45L/55s,None,,,,,,
1,,60,90,1,150-200,120-230,45L/55s,None,,,,,,
1,,70,90,1,150-200,120-230,45L/55s,None,,,,,,
1,,80,90,1,150-200,120-230,45L/55s,None,,,,,,
1,,90,90,1,150-200,120-230,45L/55s,None,,,,,,
1,,100,90,1,150-200,120-230,45L/55s,None,,,,,,
1,,110,90,1,150-200,120-230,45L/55s,None,,,,,,
1,,120,90,1,150-200,120-230,45L/55s,None,,,,,,
1,,130,90,1,150-200,120-230,45L/55s,None,,,,,,
1,,140,90,1,150-200,120-230,45L/55s,None,,,,,,
1,,150,90,1,150-200,120-230,45L/55s,None,,,,,,
1,,160,90,1,150-200,120-230,45L/55s,None,,,,,,
1,,170,90,1,150-200,120-230,45L/55s,None,,,,,,
1,,180,90,1,150-200,120-230,45L/55s,None,,,,,,
1,,190,90,1,150-200,120-230,45L/55s,None,,,,,,
1,,200,90,1,150-200,120-230,45L/55s,None,,,,,,
1,,210,90,1,150-200,120-230,45L/55s,None,,,,,,
1,,220,90,1,150-200,120-230,45L/55s,None,,,,,,
1,,230,90,1,150-200,120-230,45L/55s,None,,,,,,
1,,240,90,1,150-200,120-230,45L/55s,None,,,,,,
1,,250,90,1,150-200,120-230,45L/55s,None,,,,,,
1,,260,90,1,150-200,120-230,45L/55s,None,,,,,,
1,,270,90,1,150-200,120-230,45L/55s,None,,,,,,
1,,280,90,1,150-200,120-230,45L/55s,None,,,,,,
1,,290,90,1,150-200,120-230,45L/55s,None,,,,,,
1,,300,90,1,150-200,120-230,45L/55s,None,,,,,,
1,,310,90,1,150-200,120-230,45L/55s,None,,,,,,
2,25-Sep-24,10,90,4,145-186,103-258,15RO/15R/10L/60S,None ,,,,,,
2,,20,90,4,145-186,103-258,15RO/15R/10L/60S,None ,,,,,,
2,,30,90,4,145-186,103-258,15RO/15R/10L/60S,None ,,,,,,
2,,40,90,4,145-186,103-258,15RO/15R/10L/60S,None ,,,,,,
2,,50,90,4,145-186,103-258,15RO/15R/10L/60S,None ,,,,,,
2,,60,90,4,145-186,103-258,15RO/15R/10L/60S,None ,,,,,,
2,,70,90,4,145-186,103-258,15RO/15R/10L/60S,None ,,,,,,
2,,80,90,4,145-186,103-258,15RO/15R/10L/60S,None ,,,,,,
2,,90,90,4,145-186,103-258,15RO/15R/10L/60S,None ,,,,,,
2,,100,90,4,145-186,103-258,15RO/15R/10L/60S,None ,,,,,,
2,,110,90,4,145-186,103-258,15RO/15R/10L/60S,None ,,,,,,
2,,120,90,4,145-186,103-258,15RO/15R/10L/60S,None ,,,,,,
2,,130,90,4,145-186,103-258,15RO/15R/10L/60S,None ,,,,,,
2,,140,90,4,145-186,103-258,15RO/15R/10L/60S,None ,,,,,,
2,,150,90,4,145-186,103-258,15RO/15R/10L/60S,None ,,,,,,
2,,160,90,4,145-186,103-258,15RO/15R/10L/60S,None ,,,,,,
2,,170,90,4,145-186,103-258,15RO/15R/10L/60S,None ,,,,,,
2,,180,90,4,145-186,103-258,15RO/15R/10L/60S,None ,,,,,,
2,,190,90,4,145-186,103-258,15RO/15R/10L/60S,None ,,,,,,
2,,200,90,4,145-186,103-258,15RO/15R/10L/60S,None ,,,,,,
2,,210,90,4,145-186,103-258,15RO/15R/10L/60S,None ,,,,,,
2,,220,90,4,145-186,103-258,15RO/15R/10L/60S,None ,,,,,,
2,,230,90,4,145-186,103-258,15RO/15R/10L/60S,None ,,,,,,
2,,240,90,4,145-186,103-258,15RO/15R/10L/60S,None ,,,,,,
3,25-Sep-24,10,90,1,190-250,175-280,45L/10R/45S,Corner,3,1,,,,
3,,20,90,1,190-250,175-280,45L/10R/45S,Corner,3,1,,,,
3,,30,90,1,190-250,175-280,45L/10R/45S,Corner,3,1,,,,
3,,40,90,1,190-250,175-280,45L/10R/45S,Corner,3,1,,,,
3,,50,90,1,190-250,175-280,45L/10R/45S,Corner,3,1,,,,
3,,60,90,1,190-250,175-280,45L/10R/45S,Corner,3,1,,,,
3,,70,90,1,190-250,175-280,45L/10R/45S,Corner,3,1,,,,
3,,80,90,1,190-250,175-280,45L/10R/45S,Corner,3,1,,,,
3,,90,90,1,190-250,175-280,45L/10R/45S,Corner,3,1,,,,
3,,100,90,1,190-250,175-280,45L/10R/45S,Corner,3,1,,,,
3,,110,90,1,190-250,175-280,45L/10R/45S,Corner,3,1,,,,
3,,120,98,1,190-250,175-280,45L/10R/45S,Corner,3,1,,,,
3,,130,104,1,190-250,175-280,45L/10R/45S,Corner,3,1,,,,
3,,140,107,1,190-250,175-280,45L/10R/45S,Corner,3,1,,,,
3,,150,116,1,190-250,175-280,45L/10R/45S,Corner,3,1,,,,
3,,160,122,1,190-250,175-280,45L/10R/45S,Corner,3,1,,,,
3,,170,128,1,190-250,175-280,45L/10R/45S,Corner,3,1,,,,
3,,180,132,1,190-250,175-280,45L/10R/45S,Corner,3,1,,,,
3,,190,136,1,190-250,175-280,45L/10R/45S,Corner,3,1,,,,
3,,200,138,1,190-250,175-280,45L/10R/45S,Corner,3,1,,,,
3,,210,139,1,190-250,175-280,45L/10R/45S,Corner,3,1,,,,
3,,220,140,1,190-250,175-280,45L/10R/45S,Corner,3,1,,,,
3,,230,141,1,190-250,175-280,45L/10R/45S,Corner,3,1,,,,
3,,240,142,1,190-250,175-280,45L/10R/45S,Corner,3,1,,,,
3,,250,145,1,190-250,175-280,45L/10R/45S,Corner,3,1,,,,
3,,260,146,1,190-250,175-280,45L/10R/45S,Corner,3,1,,,,
3,,270,149,1,190-250,175-280,45L/10R/45S,Corner,3,1,,,,
3,,280,152,1,190-250,175-280,45L/10R/45S,Corner,3,1,,,,
3,,290,155,1,190-250,175-280,45L/10R/45S,Corner,3,1,,,,
3,,300,159,1,190-250,175-280,45L/10R/45S,Corner,3,1,,,,
3,,310,161,1,190-250,175-280,45L/10R/45S,Corner,3,1,,,,
3,,320,167,1,190-250,175-280,45L/10R/45S,Corner,3,1,,,,
3,,330,172,1,190-250,175-280,45L/10R/45S,Corner,3,1,,,,
3,,340,179,1,190-250,175-280,45L/10R/45S,Corner,3,1,,,,
3,,350,181,1,190-250,175-280,45L/10R/45S,Corner,3,1,,,,
3,,360,191,1,190-250,175-280,45L/10R/45S,Corner,3,1,,,,
3,,370,190,1,190-250,175-280,45L/10R/45S,Corner,3,1,,,,
4,25-Sep-24,10,4,2,130-259,104-249,35L/5R/5RO/55S,,,,,,,
4,,20,6,2,130-259,104-249,35L/5R/5RO/55S,,,,,,,
4,,30,8,2,130-259,104-249,35L/5R/5RO/55S,,,,,,,
4,,40,8,2,130-259,104-249,35L/5R/5RO/55S,,,,,,,
4,,50,9,2,130-259,104-249,35L/5R/5RO/55S,,,,,,,
4,,60,12,2,130-259,104-249,35L/5R/5RO/55S,,,,,,,
4,,70,13,2,130-259,104-249,35L/5R/5RO/55S,,,,,,,
4,,80,19,2,130-259,104-249,35L/5R/5RO/55S,,,,,,,
4,,90,24,2,130-259,104-249,35L/5R/5RO/55S,,,,,,,
4,,100,29,2,130-259,104-249,35L/5R/5RO/55S,,,,,,,
4,,110,32,2,130-259,104-249,35L/5R/5RO/55S,,,,,,,
4,,120,35,2,130-259,104-249,35L/5R/5RO/55S,,,,,,,
4,,130,37,2,130-259,104-249,35L/5R/5RO/55S,,,,,,,
4,,140,39,2,130-259,104-249,35L/5R/5RO/55S,,,,,,,
4,,150,41,2,130-259,104-249,35L/5R/5RO/55S,,,,,,,
4,,160,43,2,130-259,104-249,35L/5R/5RO/55S,,,,,,,
4,,170,44,2,130-259,104-249,35L/5R/5RO/55S,,,,,,,
4,,180,45,2,130-259,104-249,35L/5R/5RO/55S,,,,,,,
4,,190,46,2,130-259,104-249,35L/5R/5RO/55S,,,,,,,
4,,200,46,2,130-259,104-249,35L/5R/5RO/55S,,,,,,,
4,,210,47,2,130-259,104-249,35L/5R/5RO/55S,,,,,,,
4,,220,47,2,130-259,104-249,35L/5R/5RO/55S,,,,,,,
4,,230,47,2,130-259,104-249,35L/5R/5RO/55S,,,,,,,
4,,240,49,2,130-259,104-249,35L/5R/5RO/55S,,,,,,,
4,,250,49,2,130-259,104-249,35L/5R/5RO/55S,,,,,,,
4,,260,49,2,130-259,104-249,35L/5R/5RO/55S,,,,,,,
4,,270,52,2,130-259,104-249,35L/5R/5RO/55S,,,,,,,
4,,280,53,2,130-259,104-249,35L/5R/5RO/55S,,,,,,,
4,,290,54,2,130-259,104-249,35L/5R/5RO/55S,,,,,,,
4,,300,55,2,130-259,104-249,35L/5R/5RO/55S,,,,,,,
4,,310,57,2,130-259,104-249,35L/5R/5RO/55S,,,,,,,
4,,320,59,2,130-259,104-249,35L/5R/5RO/55S,,,,,,,
4,,330,57,2,130-259,104-249,35L/5R/5RO/55S,,,,,,,
4,,340,58,2,130-259,104-249,35L/5R/5RO/55S,,,,,,,
4,,350,58,2,130-259,104-249,35L/5R/5RO/55S,,,,,,,
4,,360,69,2,130-259,104-249,35L/5R/5RO/55S,,,,,,,
4,,370,72,2,130-259,104-249,35L/5R/5RO/55S,,,,,,,
4,,380,73,2,130-259,104-249,35L/5R/5RO/55S,,,,,,,
4,,390,76,2,130-259,104-249,35L/5R/5RO/55S,,,,,,,
4,,400,78,2,130-259,104-249,35L/5R/5RO/55S,,,,,,,
4,,410,79,2,130-259,104-249,35L/5R/5RO/55S,,,,,,,
4,,420,79,2,130-259,104-249,35L/5R/5RO/55S,,,,,,,
4,,430,81,2,130-259,104-249,35L/5R/5RO/55S,,,,,,,
4,,440,78,2,130-259,104-249,35L/5R/5RO/55S,,,,,,,
4,,450,79,2,130-259,104-249,35L/5R/5RO/55S,,,,,,,
4,,460,74,2,130-259,104-249,35L/5R/5RO/55S,,,,,,,
4,,470,74,2,130-259,104-249,35L/5R/5RO/55S,,,,,,,
4,,10,6,2,169-226,151-250,40L/60S,Corner ,3,,,,,
4,,20,7,2,169-226,151-250,40L/60S,Corner ,3,,,105-183,86-210,30R/30L/40S
4,,30,8,2,169-226,151-250,40L/60S,Corner ,3,,,,,
4,,40,10,2,169-226,151-250,40L/60S,Corner ,3,,,,,
4,,50,10,2,169-226,151-250,40L/60S,Corner ,3,,,,,
4,,60,12,2,169-226,151-250,40L/60S,Corner ,3,,,,,
4,,70,14,2,169-226,151-250,40L/60S,Corner ,3,,,,,
4,,80,18,2,169-226,151-250,40L/60S,Corner ,3,,,,,
4,,90,24,2,169-226,151-250,40L/60S,Corner ,3,,,,,
4,,100,29,2,169-226,151-250,40L/60S,Corner ,3,,,,,
4,,110,32,2,169-226,151-250,40L/60S,Corner ,3,,,,,
4,,120,35,2,169-226,151-250,40L/60S,Corner ,3,,,,,
4,,130,38,2,169-226,151-250,40L/60S,Corner ,3,,,,,
4,,140,40,2,169-226,151-250,40L/60S,Corner ,3,,,,,
4,,150,41,2,169-226,151-250,40L/60S,Corner ,3,,,,,
4,,160,43,2,169-226,151-250,40L/60S,Corner ,3,,,,,
4,,170,45,2,169-226,151-250,40L/60S,Corner ,3,,,,,
4,,180,46,2,169-226,151-250,40L/60S,Corner ,3,,,,,
4,,190,46,2,169-226,151-250,40L/60S,Corner ,3,,,,,
4,,200,47,2,169-226,151-250,40L/60S,Corner ,3,,,,,
4,,210,47,2,169-226,151-250,40L/60S,Corner ,3,,,,,
4,,220,48,2,169-226,151-250,40L/60S,Corner ,3,,,,,
4,,230,48,2,169-226,151-250,40L/60S,Corner ,3,,,,,
