Transect,Measurement_Point,name,value
1,130,F2021_to_S2022,0
1,130,F2021_to_F2024,0
1,130,F2021_to_S2025,NA
1,130,S2022_to_F2024,0
1,130,S2022_to_S2025,NA
1,140,F2021_to_S2022,1.5
1,140,F2021_to_F2024,0
1,140,F2021_to_S2025,NA
1,140,S2022_to_F2024,-1.5
1,140,S2022_to_S2025,NA
1,150,F2021_to_S2022,0.5
1,150,F2021_to_F2024,-1.5
1,150,F2021_to_S2025,NA
1,150,S2022_to_F2024,-2
1,150,S2022_to_S2025,NA
1,160,F2021_to_S2022,1
1,160,F2021_to_F2024,-2
1,160,F2021_to_S2025,NA
1,160,S2022_to_F2024,-3
1,160,S2022_to_S2025,NA
1,170,F2021_to_S2022,2
1,170,F2021_to_F2024,-2
1,170,F2021_to_S2025,NA
1,170,S2022_to_F2024,-4
1,170,S2022_to_S2025,NA
1,180,F2021_to_S2022,1
1,180,F2021_to_F2024,-3
1,180,F2021_to_S2025,NA
1,180,S2022_to_F2024,-4
1,180,S2022_to_S2025,NA
1,190,F2021_to_S2022,1
1,190,F2021_to_F2024,-4.5
1,190,F2021_to_S2025,NA
1,190,S2022_to_F2024,-5.5
1,190,S2022_to_S2025,NA
1,200,F2021_to_S2022,2
1,200,F2021_to_F2024,-5
1,200,F2021_to_S2025,NA
1,200,S2022_to_F2024,-7
1,200,S2022_to_S2025,NA
2,140,F2021_to_S2022,0
2,140,F2021_to_F2024,0
2,140,F2021_to_S2025,NA
2,140,S2022_to_F2024,0
2,140,S2022_to_S2025,NA
2,150,F2021_to_S2022,0
2,150,F2021_to_F2024,-0.5
2,150,F2021_to_S2025,NA
2,150,S2022_to_F2024,-0.5
2,150,S2022_to_S2025,NA
2,160,F2021_to_S2022,0.5
2,160,F2021_to_F2024,-1
2,160,F2021_to_S2025,NA
2,160,S2022_to_F2024,-1.5
2,160,S2022_to_S2025,NA
2,170,F2021_to_S2022,2
2,170,F2021_to_F2024,-1
2,170,F2021_to_S2025,NA
2,170,S2022_to_F2024,-3
2,170,S2022_to_S2025,NA
2,180,F2021_to_S2022,1
2,180,F2021_to_F2024,-2
2,180,F2021_to_S2025,NA
2,180,S2022_to_F2024,-3
2,180,S2022_to_S2025,NA
2,190,F2021_to_S2022,0.5
2,190,F2021_to_F2024,-2
2,190,F2021_to_S2025,NA
2,190,S2022_to_F2024,-2.5
2,190,S2022_to_S2025,NA
2,200,F2021_to_S2022,1
2,200,F2021_to_F2024,-2.5
2,200,F2021_to_S2025,NA
2,200,S2022_to_F2024,-3.5
2,200,S2022_to_S2025,NA
2,210,F2021_to_S2022,2
2,210,F2021_to_F2024,-2.5
2,210,F2021_to_S2025,NA
2,210,S2022_to_F2024,-4.5
2,210,S2022_to_S2025,NA
3,170,F2021_to_S2022,0
3,170,F2021_to_F2024,0
3,170,F2021_to_S2025,NA
3,170,S2022_to_F2024,0
3,170,S2022_to_S2025,NA
3,180,F2021_to_S2022,9.5
3,180,F2021_to_F2024,1.5
3,180,F2021_to_S2025,NA
3,180,S2022_to_F2024,-8
3,180,S2022_to_S2025,NA
3,190,F2021_to_S2022,10.5
3,190,F2021_to_F2024,3
3,190,F2021_to_S2025,NA
3,190,S2022_to_F2024,-7.5
3,190,S2022_to_S2025,NA
3,200,F2021_to_S2022,9.25
3,200,F2021_to_F2024,1.25
3,200,F2021_to_S2025,NA
3,200,S2022_to_F2024,-8
3,200,S2022_to_S2025,NA
3,210,F2021_to_S2022,7.25
3,210,F2021_to_F2024,-0.25
3,210,F2021_to_S2025,NA
3,210,S2022_to_F2024,-7.5
3,210,S2022_to_S2025,NA
3,220,F2021_to_S2022,2.5
3,220,F2021_to_F2024,-5.5
3,220,F2021_to_S2025,NA
3,220,S2022_to_F2024,-8
3,220,S2022_to_S2025,NA
3,230,F2021_to_S2022,-1.25
3,230,F2021_to_F2024,-8.25
3,230,F2021_to_S2025,NA
3,230,S2022_to_F2024,-7
3,230,S2022_to_S2025,NA
4,140,F2021_to_S2022,0
4,140,F2021_to_F2024,0
4,140,F2021_to_S2025,NA
4,140,S2022_to_F2024,0
4,140,S2022_to_S2025,NA
4,150,F2021_to_S2022,-0.5
4,150,F2021_to_F2024,0
4,150,F2021_to_S2025,NA
4,150,S2022_to_F2024,0.5
4,150,S2022_to_S2025,NA
4,160,F2021_to_S2022,-1
4,160,F2021_to_F2024,0
4,160,F2021_to_S2025,NA
4,160,S2022_to_F2024,1
4,160,S2022_to_S2025,NA
4,170,F2021_to_S2022,-0.5
4,170,F2021_to_F2024,1
4,170,F2021_to_S2025,NA
4,170,S2022_to_F2024,1.5
4,170,S2022_to_S2025,NA
4,180,F2021_to_S2022,-0.5
4,180,F2021_to_F2024,1
4,180,F2021_to_S2025,NA
4,180,S2022_to_F2024,1.5
4,180,S2022_to_S2025,NA
4,190,F2021_to_S2022,-0.5
4,190,F2021_to_F2024,1
4,190,F2021_to_S2025,NA
4,190,S2022_to_F2024,1.5
4,190,S2022_to_S2025,NA
4,200,F2021_to_S2022,0
4,200,F2021_to_F2024,1
4,200,F2021_to_S2025,NA
4,200,S2022_to_F2024,1
4,200,S2022_to_S2025,NA
4,210,F2021_to_S2022,1.5
4,210,F2021_to_F2024,1
4,210,F2021_to_S2025,NA
4,210,S2022_to_F2024,-0.5
4,210,S2022_to_S2025,NA
5,160,F2021_to_S2022,0
5,160,F2021_to_F2024,0
5,160,F2021_to_S2025,NA
5,160,S2022_to_F2024,0
5,160,S2022_to_S2025,NA
5,170,F2021_to_S2022,0
5,170,F2021_to_F2024,NA
5,170,F2021_to_S2025,NA
5,170,S2022_to_F2024,NA
5,170,S2022_to_S2025,NA
5,180,F2021_to_S2022,0.5
5,180,F2021_to_F2024,1
5,180,F2021_to_S2025,NA
5,180,S2022_to_F2024,0.5
5,180,S2022_to_S2025,NA
5,190,F2021_to_S2022,-1
5,190,F2021_to_F2024,-0.5
5,190,F2021_to_S2025,NA
5,190,S2022_to_F2024,0.5
5,190,S2022_to_S2025,NA
5,200,F2021_to_S2022,0
5,200,F2021_to_F2024,1
5,200,F2021_to_S2025,NA
5,200,S2022_to_F2024,1
5,200,S2022_to_S2025,NA
5,210,F2021_to_S2022,-0.5
5,210,F2021_to_F2024,0
5,210,F2021_to_S2025,NA
5,210,S2022_to_F2024,0.5
5,210,S2022_to_S2025,NA
5,220,F2021_to_S2022,1
5,220,F2021_to_F2024,1.5
5,220,F2021_to_S2025,NA
5,220,S2022_to_F2024,0.5
5,220,S2022_to_S2025,NA
5,230,F2021_to_S2022,0.5
5,230,F2021_to_F2024,1.5
5,230,F2021_to_S2025,NA
5,230,S2022_to_F2024,1
5,230,S2022_to_S2025,NA
5,240,F2021_to_S2022,0.5
5,240,F2021_to_F2024,1.5
5,240,F2021_to_S2025,NA
5,240,S2022_to_F2024,1
5,240,S2022_to_S2025,NA
5,250,F2021_to_S2022,0
5,250,F2021_to_F2024,0.5
5,250,F2021_to_S2025,NA
5,250,S2022_to_F2024,0.5
5,250,S2022_to_S2025,NA
6,170,F2021_to_S2022,0
6,170,F2021_to_F2024,0
6,170,F2021_to_S2025,NA
6,170,S2022_to_F2024,0
6,170,S2022_to_S2025,NA
6,180,F2021_to_S2022,-1
6,180,F2021_to_F2024,-2
6,180,F2021_to_S2025,NA
6,180,S2022_to_F2024,-1
6,180,S2022_to_S2025,NA
6,190,F2021_to_S2022,-1
6,190,F2021_to_F2024,-2
6,190,F2021_to_S2025,NA
6,190,S2022_to_F2024,-1
6,190,S2022_to_S2025,NA
6,200,F2021_to_S2022,-0.5
6,200,F2021_to_F2024,-1
6,200,F2021_to_S2025,NA
6,200,S2022_to_F2024,-0.5
6,200,S2022_to_S2025,NA
6,210,F2021_to_S2022,-0.5
6,210,F2021_to_F2024,-2
6,210,F2021_to_S2025,NA
6,210,S2022_to_F2024,-1.5
6,210,S2022_to_S2025,NA
6,220,F2021_to_S2022,0.5
6,220,F2021_to_F2024,-1
6,220,F2021_to_S2025,NA
6,220,S2022_to_F2024,-1.5
6,220,S2022_to_S2025,NA
6,230,F2021_to_S2022,0.5
6,230,F2021_to_F2024,-1.5
6,230,F2021_to_S2025,NA
6,230,S2022_to_F2024,-2
6,230,S2022_to_S2025,NA
6,240,F2021_to_S2022,-0.5
6,240,F2021_to_F2024,-2
6,240,F2021_to_S2025,NA
6,240,S2022_to_F2024,-1.5
6,240,S2022_to_S2025,NA
6,250,F2021_to_S2022,-1
6,250,F2021_to_F2024,-1.5
6,250,F2021_to_S2025,NA
6,250,S2022_to_F2024,-0.5
6,250,S2022_to_S2025,NA
6,260,F2021_to_S2022,-1
6,260,F2021_to_F2024,-1.5
6,260,F2021_to_S2025,NA
6,260,S2022_to_F2024,-0.5
6,260,S2022_to_S2025,NA
6,270,F2021_to_S2022,-1
6,270,F2021_to_F2024,-2.5
6,270,F2021_to_S2025,NA
6,270,S2022_to_F2024,-1.5
6,270,S2022_to_S2025,NA
7,160,F2021_to_S2022,0
7,160,F2021_to_F2024,0
7,160,F2021_to_S2025,NA
7,160,S2022_to_F2024,0
7,160,S2022_to_S2025,NA
7,170,F2021_to_S2022,-1
7,170,F2021_to_F2024,0
7,170,F2021_to_S2025,NA
7,170,S2022_to_F2024,1
7,170,S2022_to_S2025,NA
7,180,F2021_to_S2022,-2
7,180,F2021_to_F2024,-1
7,180,F2021_to_S2025,NA
7,180,S2022_to_F2024,1
7,180,S2022_to_S2025,NA
7,190,F2021_to_S2022,-1
7,190,F2021_to_F2024,0
7,190,F2021_to_S2025,NA
7,190,S2022_to_F2024,1
7,190,S2022_to_S2025,NA
7,200,F2021_to_S2022,0
7,200,F2021_to_F2024,0.5
7,200,F2021_to_S2025,NA
7,200,S2022_to_F2024,0.5
7,200,S2022_to_S2025,NA
7,210,F2021_to_S2022,0.5
7,210,F2021_to_F2024,2
7,210,F2021_to_S2025,NA
7,210,S2022_to_F2024,1.5
7,210,S2022_to_S2025,NA
7,220,F2021_to_S2022,-0.5
7,220,F2021_to_F2024,0
7,220,F2021_to_S2025,NA
7,220,S2022_to_F2024,0.5
7,220,S2022_to_S2025,NA
7,230,F2021_to_S2022,0
7,230,F2021_to_F2024,-0.5
