Transect,F2021_to_S2022_cm2,F2021_to_F2024_cm2,F2021_to_S2025_cm2,S2022_to_F2024_cm2,S2022_to_S2025_cm2
1,-90,180,NA,270,NA
2,-70,115,NA,185,NA
3,-377.5,82.5,NA,460,NA
4,15,-50,NA,-65,NA
5,-10,130,NA,140,NA
6,55,170,NA,115,NA
7,40,-10,NA,-50,NA
8,80,115,NA,35,NA
9,-135,-240,NA,-105,NA
10,-5,40,NA,45,NA
11,45,90,NA,45,NA
12,100,760,NA,660,NA
13,-75,-85,NA,-10,NA
14,-15,-5,NA,10,NA
15,70,35,NA,-35,NA
16,-70,-185,NA,-115,NA
17,-115,-380,NA,-265,NA
18,-115,-155,NA,-40,NA
19,-104,-90,NA,14,NA
20,105,705,NA,600,NA
21,-290,80,NA,370,NA
22,-60,-50,NA,10,NA
23,45,-170,NA,-215,NA
24,-140,-325,NA,-185,NA
25,-175,-20,NA,155,NA
26,-90,-45,NA,45,NA
27,-120,NA,-105,NA,15
28,655,NA,NA,NA,NA
29,-85,NA,NA,NA,NA
30,-135,NA,-225,NA,-90
31,-390,NA,NA,NA,NA
32,-100,NA,-65,NA,35
33,-155,NA,-35,NA,120
34,250,NA,245,NA,-5
35,130,NA,-295,NA,-425
36,220,-70,NA,-290,NA
37,-105,505,NA,610,NA
38,60,345,NA,285,NA
39,-45,375,NA,420,NA
40,-25,NA,NA,NA,NA
41,75,NA,-5,NA,-80
42,50,NA,80,NA,30
43,-20,NA,60,NA,80
44,-125,NA,-140,NA,-15
45,-95,305,NA,400,NA
46,-90,-90,NA,0,NA
47,-50,-100,NA,-50,NA
48,10,40,NA,30,NA
49,-50,-205,NA,-155,NA
50,0,-775,NA,-775,NA
51,135,-220,NA,-355,NA
52,NA,NA,-255,NA,NA
53,0,-195,NA,-195,NA
54,-85,NA,2790,NA,2875
55,-2725,NA,-2505,NA,220
56,-30,NA,NA,NA,NA
57,-215,NA,140,NA,355
58,-165,-330,NA,-165,NA
59,20,210,NA,190,NA
60,-50,-65,NA,-15,NA
62,-130,NA,-90,NA,40
63,35,85,NA,50,NA
64,-170,-30,NA,140,NA
